Version,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Racers,15,,,,,,,,,,,,,,,,,,,,,,,,,
Rounds,6,,,,,,,,,,,,,,,,,,,,,,,,,
Heats,5,,,,,,,,,,,,,,,,,,,,,,,,,
Total Races,30,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 0,,,,Round 1,,,,Round 2,,,,Round 3,,,,Round 4,,,,Round 5,,,,
,lanes,1,2,3,,1,2,3,,1,2,3,,1,2,3,,1,2,3,,1,2,3,,
heat #0,racers,13,6,10,,2,5,1,,2,6,1,,10,4,5,,2,4,13,,11,15,3,,
,Results,1,2,3,,1,3,2,,1,2,3,,2,1,3,,2,3,1,,2,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
heat #1,racers,7,5,3,,3,10,9,,8,13,12,,8,7,3,,5,14,15,,13,5,2,,
,Results,1,3,2,,2,3,1,,3,1,2,,3,1,2,,3,1,2,,1,3,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
heat #2,racers,8,1,15,,11,12,6,,7,14,3,,6,12,11,,11,10,6,,8,6,10,,
,Results,3,2,1,,1,2,3,,2,1,3,,3,2,1,,1,2,3,,3,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
heat #3,racers,14,9,11,,13,14,4,,4,9,5,,9,14,13,,3,7,12,,9,14,1,,
,Results,1,2,3,,1,2,3,,2,1,3,,3,2,1,,3,1,2,,2,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
heat #4,racers,2,12,4,,15,8,7,,15,11,10,,2,1,15,,1,9,8,,4,7,12,,
,Results,1,3,2,,1,3,2,,1,3,2,,2,3,1,,2,1,3,,2,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
